CompoundID,Primary_Target_Assay,Primary_Target_Assay_BioActivity,MW,Molecular_Weight,TPSA,ClogP,LogD,Num_H_Donors,Num_H_Acceptors,Num_AromaticRings,F_SP3,Drug_Class,Cell Permeability,Cmpd Solubility (uM),fafg (Rat),Bioavailability (Rat),"Clint,mic (L/hr/kg) (Rat)"
CM-1622017,JAK1 EC50(uM),0.259,389.45,,79.59,3.586,3.5863,1,7,3,0.36364,UNKNOWN,41.7,86.7,,,3.24
CM-1749952,JAK1 EC50(uM),0.312,461.99,,89.36,2.132,1.3643,2,9,2,0.68182,UNKNOWN,,,,,
CM-1749952,JAK1 EC50(uM),0.312,461.99,,89.36,2.132,1.3643,2,9,2,0.68182,UNKNOWN,,,,,
CM-1749702,JAK1 EC50(uM),3,386.49,,97.12,1.995,1.9948,3,8,2,0.65,UNKNOWN,,,,,
CM-1749701,JAK1 EC50(uM),3,385.51,,80.13,2.524,1.7222,2,8,2,0.65,UNKNOWN,,,,,
CM-1211176,JAK1 EC50(uM),3,294.39,,41.99,3.412,3.4079,1,3,2,0.36842,UNKNOWN,58.9,485,,,25.1
CM-1799501,JAK1 EC50(uM),3,338.4,,66.76,4.811,4.6715,2,4,2,0.19048,UNKNOWN,,,,,
CM-1692858,JAK1 EC50(uM),3,434.43,,116.55,0.413,0.4114,3,10,3,0.19048,UNKNOWN,45.4,36,0.599,53.9,4.57
CM-2268139,JAK1 EC50(uM),3,358.35,,83.35,1.905,1.9054,3,7,3,0.23529,UNKNOWN,25.1,12,,,
CM-2268072,JAK1 EC50(uM),3,380.42,,65.77,3.939,3.9393,1,7,3,0.35,UNKNOWN,50.1,361,,,2.5
CM-2282716,JAK1 EC50(uM),3,330.45,,58.12,3.848,3.8453,1,5,2,0.58824,UNKNOWN,33.2,83,,,88.9
CM-286077,JAK1 EC50(uM),0.355,341.38,,104.81,-0.311,-0.311,2,8,0,0.71429,UNCLASSIFIED INTERMEDIATES,,,,,
CM-1597080,JAK1 EC50(uM),2.21,299.37,,73.91,1.947,1.901,2,6,2,0.4375,OTHER,,,,,
CM-212452,JAK1 EC50(uM),3,294.3,,93.35,2.482,2.4436,3,5,2,0.05882,OTHER,,,,,
CM-2241325,JAK1 EC50(uM),3,459.43,,38.36,3.393,2.659,0,5,3,0.61905,Other,1.72,613,,,71.9
CM-2241319,JAK1 EC50(uM),0.887,447.47,,38.36,2.442,1.1702,0,5,3,0.65217,Other,1.88,621,,,12.4
CM-1711313,JAK1 EC50(uM),3,423.44,,88.92,0.786,-1.4886,3,8,2,0.63158,NA,,,,,
CM-2163841,JAK1 EC50(uM),3,440.42,,86.34,3.708,3.6977,1,8,4,0.28571,NA,12.4,8.04,,,2.5
CM-2289716,JAK1 EC50(uM),0.0693,348.38,,70.9,0.916,-0.1907,2,6,4,0.31579,NA,48.5,4,,,19.1
CM-2290800,JAK1 EC50(uM),0.0135,365.4,,68.1,2.137,2.1367,1,6,4,0.35,NA,39.5,308,,,
CM-2290802,JAK1 EC50(uM),0.0273,327.4,,49.22,1.693,1.6206,1,5,3,0.55556,NA,,617,,,21
CM-2291974,JAK1 EC50(uM),0.0137,318.32,,55.21,1.74,1.7398,1,5,3,0.5,NA,32.4,25,,,18.6
CM-2294242,JAK1 EC50(uM),0.0126,365.4,,68.1,2.137,2.1367,1,6,4,0.35,NA,47.7,108,,,15.1
CM-2294245,JAK1 EC50(uM),0.0862,350.39,,62.11,1.373,0.3013,1,6,4,0.31579,NA,38.1,391,,,3.74
CM-2297042,JAK1 EC50(uM),0.025,365.4,,68.1,2.137,2.1367,1,6,4,0.35,NA,36.4,134,,,5.37
CM-2299706,JAK1 EC50(uM),0.0233,318.32,,55.21,0.652,0.6517,1,5,3,0.5,NA,,63,,,
CM-2299796,JAK1 EC50(uM),0.106,344.36,,66.59,1.875,1.8752,2,5,3,0.55556,NA,26,10,,,18.4
CM-2302385,JAK1 EC50(uM),0.5,350.39,,62.11,0.979,-0.5828,1,6,4,0.31579,NA,,612,,,40.6
CM-2302386,JAK1 EC50(uM),0.107,364.42,,62.11,1.424,-0.3488,1,6,4,0.35,NA,34.9,579,,,37
CM-2302420,JAK1 EC50(uM),0.0767,386.44,,66.59,3.209,3.209,2,5,3,0.61905,NA,10.5,5,,,5.91
CM-2302874,JAK1 EC50(uM),0.0149,318.32,,55.21,0.652,0.6517,1,5,3,0.5,NA,52.5,100,,,8.95
CM-2303454,JAK1 EC50(uM),0.0262,358.39,,55.21,1.319,1.3185,1,5,3,0.57895,NA,31.5,10,,,7.14
CM-2305239,JAK1 EC50(uM),0.0924,375.42,,68.1,1.836,1.8358,1,6,3,0.63158,NA,43.4,93,,,2.5
CM-2305848,JAK1 EC50(uM),0.0486,401.45,,68.1,2.177,2.1774,1,6,3,0.66667,NA,28.1,20,,,19.1
CM-2305851,JAK1 EC50(uM),0.0864,401.45,,68.1,2.177,2.1774,1,6,3,0.66667,NA,40.2,50,,,13.6
CM-2306719,JAK1 EC50(uM),0.0128,349.36,,68.62,2.052,2.0515,1,6,4,0.31579,NA,,11,,,2.5
CM-2307051,JAK1 EC50(uM),0.00854,332.35,,55.21,1.096,1.0962,1,5,3,0.52941,NA,47,589,,,17.6
CM-2309216,JAK1 EC50(uM),0.026,386.44,,55.21,2.611,2.6111,1,5,3,0.61905,NA,9.9,38,,,48.8
CM-2309245,JAK1 EC50(uM),0.0642,386.44,,55.21,2.611,2.6111,1,5,3,0.61905,NA,10.9,14,,,29.5
CM-2309592,JAK1 EC50(uM),0.0277,325.38,,58.01,0.797,-0.4966,2,5,3,0.55556,NA,,44,,,50.2
CM-2309821,JAK1 EC50(uM),0.0188,348.38,,70.9,1.165,1.1648,2,6,4,0.31579,NA,54.3,11,,,21.1
CM-2312441,JAK1 EC50(uM),0.0714,270.3,,45.98,1.189,1.1889,1,4,3,0.46667,NA,47,441,,,13.5
CM-2313804,JAK1 EC50(uM),0.032,348.38,,70.9,1.759,1.7593,2,6,4,0.31579,NA,25.5,18,,,2.5
CM-2314317,JAK1 EC50(uM),0.0147,348.38,,70.9,1.365,1.3409,2,6,4,0.31579,NA,24.2,2,,,124
CM-2315390,JAK1 EC50(uM),0.115,385.45,,58.87,3.081,3.0814,1,5,3,0.66667,NA,4.78,1,,,8.13
CM-2315517,JAK1 EC50(uM),0.0297,326.37,,55.73,1.218,1.2182,1,5,3,0.55556,NA,37.6,5,,,2.5
CM-2315524,JAK1 EC50(uM),0.0318,326.37,,55.73,1.218,1.2182,1,5,3,0.55556,NA,43.1,4,,,2.5
CM-2315731,JAK1 EC50(uM),0.0523,375.4,,75,1.074,1.0744,1,7,4,0.4,NA,,15,,,12.6
CM-2316964,JAK1 EC50(uM),0.145,300.33,,55.21,0.992,0.9914,1,5,3,0.5,NA,44,619,,,8.94
CM-2317021,JAK1 EC50(uM),0.00816,326.37,,55.73,1.31,1.3104,1,5,3,0.55556,NA,47.8,226,,,2.5
CM-2318058,JAK1 EC50(uM),0.0684,344.36,,55.21,1.654,1.6539,1,5,3,0.55556,NA,36,40,,,14.9
CM-2318060,JAK1 EC50(uM),0.0758,344.36,,55.21,1.654,1.6539,1,5,3,0.55556,NA,36.1,,,,183
CM-2318061,JAK1 EC50(uM),0.0155,358.39,,55.21,1.666,1.666,1,5,3,0.57895,NA,37.9,67,,,189
CM-2318062,JAK1 EC50(uM),0.00714,358.39,,55.21,1.666,1.666,1,5,3,0.57895,NA,59.8,,,,147
CM-2318064,JAK1 EC50(uM),0.0488,358.39,,55.21,1.666,1.666,1,5,3,0.57895,NA,45.5,51,,,43.7
CM-2318066,JAK1 EC50(uM),0.0203,358.39,,55.21,1.666,1.666,1,5,3,0.57895,NA,38.6,55,,,7.29
CM-2318124,JAK1 EC50(uM),0.00943,348.38,,70.9,1.165,1.1648,2,6,4,0.31579,NA,40.1,55,,,2.5
CM-2318464,JAK1 EC50(uM),0.013,358.39,,55.21,1.291,1.2906,1,5,3,0.57895,NA,,15,,,28.1
CM-2318934,JAK1 EC50(uM),0.697,379.38,,68.1,2.393,2.3925,1,6,3,0.61111,NA,48.3,138,,,8.68
CM-2318937,JAK1 EC50(uM),0.0531,379.38,,68.1,2.393,2.3925,1,6,3,0.61111,NA,52.1,96,,,2.5
CM-2318938,JAK1 EC50(uM),0.119,361.39,,68.1,1.483,1.4826,1,6,3,0.61111,NA,49.8,39,,,2.5
CM-2318940,JAK1 EC50(uM),0.0657,361.39,,68.1,1.735,1.7352,1,6,3,0.61111,NA,51.9,22,,,2.5
CM-2318941,JAK1 EC50(uM),0.167,365.35,,68.1,1.976,1.9759,1,6,3,0.58824,NA,52.8,16,,,2.5
CM-2318944,JAK1 EC50(uM),0.0706,375.42,,68.1,2.372,2.3721,1,6,3,0.63158,NA,53.8,22,,,10.9
CM-2318947,JAK1 EC50(uM),0.0661,379.38,,68.1,1.922,1.9225,1,6,3,0.61111,NA,40.9,35,,,2.5
CM-2318953,JAK1 EC50(uM),0.0664,393.41,,68.1,2.535,2.5349,1,6,3,0.63158,NA,36.8,5,,,2.5
CM-2319295,JAK1 EC50(uM),0.0268,332.35,,55.21,2.185,2.1844,1,5,3,0.52941,NA,20.6,48,,,4.43
CM-2319308,JAK1 EC50(uM),0.0354,348.38,,70.9,0.771,0.7701,2,6,4,0.31579,NA,,48,,,19.7
CM-2319313,JAK1 EC50(uM),0.00986,345.39,,49.22,0.992,0.6417,1,5,3,0.55556,NA,,347,,,105
CM-2321420,JAK1 EC50(uM),0.102,360.4,,55.21,1.985,1.9854,1,5,3,0.57895,NA,51.3,39,,,19.9
CM-2321431,JAK1 EC50(uM),0.0551,364.36,,55.21,2.479,2.4787,1,5,3,0.55556,NA,39.1,9,,,2.5
CM-2321435,JAK1 EC50(uM),0.0308,392.42,,55.21,3.038,3.0377,1,5,3,0.6,NA,6.54,4,,,2.5
CM-2321436,JAK1 EC50(uM),0.026,404.43,,55.21,3.047,3.0466,1,5,3,0.61905,NA,7.99,10,,,2.5
CM-2321439,JAK1 EC50(uM),0.074,405.42,,68.1,2.366,2.3657,1,6,3,0.65,NA,36.3,40,,,12.9
CM-2321442,JAK1 EC50(uM),0.0388,388.41,,80.99,0.996,0.9903,1,7,3,0.68421,NA,48.4,217,,,10.6
CM-2282309,JAK1 EC50(uM),0.0381,390.46,,58.34,2.368,2.0118,1,6,2,0.5,NA,22.2,458,,,17.8
CM-2286229,JAK1 EC50(uM),0.0759,387.43,,68.1,1.733,1.7328,1,6,3,0.65,NA,45.5,37,,,2.5
CM-2285383,JAK1 EC50(uM),0.0451,358.39,,55.21,1.472,1.4722,1,5,3,0.57895,NA,26.3,76,,,446
CM-2286506,JAK1 EC50(uM),0.457,361.41,,39.42,1.947,1.9469,0,4,3,0.55556,NA,39.3,151,,,18
CM-2289202,JAK1 EC50(uM),0.145,403.49,,39.42,3.281,3.2806,0,4,3,0.61905,NA,23.8,10,,,
CM-2287421,JAK1 EC50(uM),0.066,358.39,,55.21,1.669,1.6687,1,5,3,0.57895,NA,14.1,20,,,145
CM-2287916,JAK1 EC50(uM),0.0272,372.41,,55.21,1.712,1.7115,1,5,3,0.6,NA,31.7,62,,,21.8
CM-2287913,JAK1 EC50(uM),0.332,372.41,,55.21,1.712,1.7115,1,5,3,0.6,NA,17,18,,,40.4
CM-2287914,JAK1 EC50(uM),0.0109,372.41,,55.21,1.712,1.7115,1,5,3,0.6,NA,28.6,24,,,16.6
CM-2287865,JAK1 EC50(uM),0.0307,372.41,,55.21,1.712,1.7115,1,5,3,0.6,NA,28,33,,,24.8
CM-2291914,JAK1 EC50(uM),0.0415,360.4,,55.21,2.128,2.1275,1,5,3,0.57895,NA,28.4,78,,,34.3
CM-2291816,JAK1 EC50(uM),0.0275,360.4,,55.21,2.128,2.1275,1,5,3,0.57895,NA,25.4,83,,,20.2
CM-2291820,JAK1 EC50(uM),0.0113,354.42,,55.21,1.729,1.729,1,5,3,0.6,NA,25.2,32,,,165
CM-2291821,JAK1 EC50(uM),0.225,354.42,,55.21,1.729,1.729,1,5,3,0.6,NA,31.3,43,,,184
CM-2292050,JAK1 EC50(uM),0.0437,354.42,,55.21,1.729,1.729,1,5,3,0.6,NA,39.3,68,,,35.6
CM-2292047,JAK1 EC50(uM),0.0373,354.42,,55.21,1.729,1.729,1,5,3,0.6,NA,33.2,92,,,112
CM-2294400,JAK1 EC50(uM),0.0652,344.36,,55.21,1.224,1.2242,1,5,3,0.55556,NA,31.6,119,,,17.6
CM-2290537,JAK1 EC50(uM),0.035,368.45,,55.21,2.253,2.2531,1,5,3,0.61905,NA,15.9,20,,,
CM-2290535,JAK1 EC50(uM),0.0727,400.46,,55.21,2.614,2.6136,1,5,3,0.63636,NA,1.84,5,,,
CM-2290580,JAK1 EC50(uM),0.035,378.39,,55.21,2.895,2.8953,1,5,3,0.57895,NA,16.1,39,,,
CM-2297053,JAK1 EC50(uM),0.0234,335.45,,49.22,2.149,-0.1977,1,5,3,0.5,NA,16,617,,,22.2
CM-2159273,JAK1 EC50(uM),0.0118,350.34,,55.21,1.788,1.7874,1,5,3,0.52941,NA,27.9,40,,,61.8
CM-2298097,JAK1 EC50(uM),3,400.46,,44.35,2.459,2.4593,0,5,3,0.63636,NA,19.6,,,,3.74
CM-2308590,JAK1 EC50(uM),0.0408,358.41,,64.44,1.004,1.0044,1,6,3,0.57895,NA,52.9,648,,,195
CM-2299385,JAK1 EC50(uM),0.105,389.44,,58.45,2.432,0.6722,1,6,3,0.6,NA,17.7,285,,,16.3
CM-2299384,JAK1 EC50(uM),0.0271,375.42,,58.45,2.372,2.1539,1,6,3,0.57895,NA,9.81,448,,,4.79
CM-2299805,JAK1 EC50(uM),0.0353,389.44,,58.45,2.432,0.6722,1,6,3,0.6,NA,10.8,115,,,13
CM-2299380,JAK1 EC50(uM),0.617,372.41,,55.21,2.034,2.0337,1,5,3,0.6,NA,23.2,11,,,23.3
CM-2299381,JAK1 EC50(uM),0.0236,372.41,,55.21,2.034,2.0337,1,5,3,0.6,NA,22.3,16,,,25.4
CM-2299383,JAK1 EC50(uM),0.0243,359.42,,49.22,2.403,2.1321,1,5,3,0.57895,NA,27.7,206,,,13
CM-2302416,JAK1 EC50(uM),0.0151,384.42,,55.21,1.535,1.5348,1,5,3,0.61905,NA,,4,,,2.5
CM-2292132,JAK1 EC50(uM),0.0131,350.39,,70.9,1.734,1.7337,2,6,4,0.31579,NA,32.3,51,,,17.8
CM-2292128,JAK1 EC50(uM),0.0442,350.39,,70.9,1.734,1.7337,2,6,4,0.31579,NA,45.3,116,,,26.6
CM-2301807,JAK1 EC50(uM),0.0527,364.42,,62.11,1.505,0.37,1,6,4,0.35,NA,43.3,422,,,33.1
CM-2292131,JAK1 EC50(uM),0.0466,350.39,,70.9,1.934,1.9341,2,6,4,0.31579,NA,34.4,66,,,25.7
CM-2290544,JAK1 EC50(uM),0.106,355.41,,58.45,0.898,0.8698,1,6,3,0.57895,NA,24.6,637,,,
CM-2292130,JAK1 EC50(uM),0.0348,350.39,,70.9,2.328,2.3281,2,6,4,0.31579,NA,27.5,33,,,26
CM-2298251,JAK1 EC50(uM),0.265,375.44,,39.42,2.391,2.3915,0,4,3,0.57895,NA,33.1,108,,,13.9
CM-2304579,JAK1 EC50(uM),0.61,360.42,,42.22,1.629,-0.9807,1,4,3,0.55556,NA,40.6,582,,,14.2
CM-2300045,JAK1 EC50(uM),0.0544,358.39,,55.21,1.319,1.3185,1,5,3,0.57895,NA,26,5,,,18.2
CM-2292105,JAK1 EC50(uM),0.144,390.46,,62.11,1.98,0.6304,1,6,4,0.40909,NA,8.25,446,,,
CM-2305236,JAK1 EC50(uM),0.352,373.4,,68.1,1.664,1.6637,1,6,3,0.63158,NA,54,63,,,15
CM-2292107,JAK1 EC50(uM),0.167,390.46,,62.11,1.98,0.9782,1,6,4,0.40909,NA,15.2,343,,,
CM-2313801,JAK1 EC50(uM),0.0935,256.28,,46.5,1.289,1.2895,1,4,3,0.42857,NA,52.1,497,,,8.98
CM-2291973,JAK1 EC50(uM),0.056,364.42,,62.11,1.899,0.6724,1,6,4,0.35,NA,28.5,149,,,33.3
CM-2302389,JAK1 EC50(uM),0.13,348.38,,70.9,0.522,-0.5501,2,6,4,0.31579,NA,40.7,174,,,2.59
CM-2305237,JAK1 EC50(uM),0.347,373.4,,68.1,1.664,1.6637,1,6,3,0.63158,NA,43.8,84,,,8.29
CM-2290579,JAK1 EC50(uM),0.0497,372.41,,55.21,2.167,2.1665,1,5,3,0.6,NA,35.6,78,,,
CM-2300049,JAK1 EC50(uM),3,315.39,,59.65,1.145,1.1453,1,5,3,0.5,NA,60.1,626,,,5.83
CM-2308887,JAK1 EC50(uM),0.126,383.44,,58.87,2.719,2.7195,1,5,3,0.57143,NA,9.62,10,,,2.5
CM-2306149,JAK1 EC50(uM),0.021,344.36,,55.21,1.672,1.6722,1,5,3,0.55556,NA,35,25,,,121
CM-2292103,JAK1 EC50(uM),0.134,390.46,,62.11,1.98,0.9407,1,6,4,0.40909,NA,,134,,,16.6
CM-2301814,JAK1 EC50(uM),0.244,348.38,,70.9,0.604,-0.5694,2,6,4,0.31579,NA,48.7,157,,,4.21
CM-2291971,JAK1 EC50(uM),0.0406,364.42,,62.11,1.818,0.5851,1,6,4,0.35,NA,28.2,136,,,17.2
CM-2304403,JAK1 EC50(uM),0.0309,317.34,,58.01,0.587,0.2672,2,5,3,0.5,NA,52.1,47,,,2.5
CM-2289351,JAK1 EC50(uM),0.875,339.41,,49.22,1.387,1.2335,1,5,3,0.57895,NA,,65,,,46
CM-2299378,JAK1 EC50(uM),0.143,372.41,,55.21,2.034,2.0337,1,5,3,0.6,NA,29.7,51,,,35
CM-2287908,JAK1 EC50(uM),0.0199,388.44,,62.11,1.411,1.005,1,6,4,0.40909,NA,,73,,,14.3
CM-2289353,JAK1 EC50(uM),0.514,339.41,,49.22,1.387,1.2335,1,5,3,0.57895,NA,,484,,,88.9
CM-2287917,JAK1 EC50(uM),0.0646,369.37,,83.79,1.765,1.765,2,7,4,0.33333,NA,44.2,112,,,7.63
CM-2305247,JAK1 EC50(uM),0.352,283.33,,68.1,0.378,0.3784,1,6,3,0.53333,NA,51,595,,,19.4
CM-2313803,JAK1 EC50(uM),0.0758,270.3,,46.5,1.734,1.734,1,4,3,0.46667,NA,48.1,404,,,10.9
CM-2289341,JAK1 EC50(uM),0.135,327.4,,49.22,1.563,1.4855,1,5,3,0.55556,NA,,2,,,38.6
CM-2302415,JAK1 EC50(uM),0.516,384.42,,55.21,1.535,1.5348,1,5,3,0.61905,NA,,20,,,2.5
CM-2289722,JAK1 EC50(uM),0.0282,365.4,,68.1,2.137,2.1367,1,6,4,0.35,NA,45.6,166,,,77.1
CM-2289344,JAK1 EC50(uM),0.0505,327.4,,49.22,1.563,1.4855,1,5,3,0.55556,NA,,606,,,26.5
CM-2309098,JAK1 EC50(uM),3,346.37,,55.21,1.816,1.8157,1,5,3,0.55556,NA,54.5,583,,,11.6
CM-2292324,JAK1 EC50(uM),0.0209,365.4,,68.1,2.218,2.2181,1,6,4,0.35,NA,45.3,102,,,22
CM-2292326,JAK1 EC50(uM),0.0759,350.39,,70.9,1.934,1.9339,2,6,4,0.31579,NA,36.9,77,,,24.4
CM-2290578,JAK1 EC50(uM),0.0567,372.41,,55.21,2.167,2.1665,1,5,3,0.6,NA,24.4,39,,,
CM-2292101,JAK1 EC50(uM),0.051,390.46,,62.11,2.302,1.3934,1,6,4,0.40909,NA,15.5,59,,,35.7
CM-2290077,JAK1 EC50(uM),0.0676,402.47,,62.11,2.149,1.6674,1,6,4,0.43478,NA,12,116,,,
CM-2305850,JAK1 EC50(uM),0.157,343.4,,68.1,1.282,1.2818,1,6,3,0.61111,NA,44.9,74,,,2.5
CM-2292325,JAK1 EC50(uM),0.0142,365.4,,68.1,2.137,2.1367,1,6,4,0.35,NA,40.5,44,,,41.3
CM-2290076,JAK1 EC50(uM),0.0819,402.47,,62.11,2.149,1.6674,1,6,4,0.43478,NA,14,115,,,25.3
CM-2305542,JAK1 EC50(uM),0.0527,358.39,,55.21,2.117,2.1168,1,5,3,0.57895,NA,16.8,67,,,140
CM-2290801,JAK1 EC50(uM),0.0154,365.4,,68.1,2.137,2.1367,1,6,4,0.35,NA,52.9,220,,,
CM-2299872,JAK1 EC50(uM),0.0814,256.28,,45.98,0.772,0.7724,1,4,3,0.42857,NA,64.3,139,,,18.6
CM-2304451,JAK1 EC50(uM),0.0242,331.36,,58.01,1.224,0.8853,2,5,3,0.52941,NA,36.3,575,,,16.6
CM-2306629,JAK1 EC50(uM),0.00293,358.39,,55.21,1.291,1.2906,1,5,3,0.57895,NA,36.5,129,,,31.2
CM-2292104,JAK1 EC50(uM),1.92,390.46,,62.11,1.98,0.6304,1,6,4,0.40909,NA,24.8,327,,,
CM-2287907,JAK1 EC50(uM),0.0679,311.36,,69.77,1.669,1.669,1,5,3,0.47059,NA,49.5,3,,,18.5
CM-2291972,JAK1 EC50(uM),0.0357,364.42,,62.11,1.818,0.5443,1,6,4,0.35,NA,33.1,200,,,14.6
CM-2307835,JAK1 EC50(uM),0.0415,331.39,,79.09,1.156,1.1563,2,6,3,0.58824,NA,37.3,607,,,7.78
CM-2307834,JAK1 EC50(uM),0.0204,333.38,,58.87,2.047,2.0474,1,5,3,0.58824,NA,35.7,398,,,12.7
CM-2292323,JAK1 EC50(uM),0.0288,350.39,,70.9,1.934,1.9112,2,6,4,0.31579,NA,28.1,66,,,58.8
CM-2305712,JAK1 EC50(uM),0.059,334.36,,55.21,1.555,1.555,1,5,3,0.52941,NA,48.6,575,,,15.2
CM-2304369,JAK1 EC50(uM),0.0148,335.33,,58.01,0.774,0.5875,2,5,3,0.5,NA,47,244,,,14.5
CM-2297046,JAK1 EC50(uM),0.235,350.39,,62.11,1.455,0.4282,1,6,4,0.31579,NA,41.3,556,,,35.3
CM-2292418,JAK1 EC50(uM),0.0852,402.47,,62.11,2.177,1.6723,1,6,4,0.43478,NA,8.73,465,,,24.3
CM-2301936,JAK1 EC50(uM),0.0958,257.31,,50.42,0.592,0.5918,1,4,3,0.38462,NA,53.4,519,,,2.5
CM-2292125,JAK1 EC50(uM),0.0249,363.39,,68.1,1.568,1.5678,1,6,4,0.35,NA,20.3,53,,,
CM-2301794,JAK1 EC50(uM),0.0895,350.39,,62.11,1.061,0.123,1,6,4,0.31579,NA,47.4,542,,,15.6
CM-2299379,JAK1 EC50(uM),0.0376,372.41,,55.21,2.034,2.0337,1,5,3,0.6,NA,27.8,61,,,26.7
CM-2287906,JAK1 EC50(uM),0.123,351.38,,79.1,1.575,1.5749,2,6,4,0.31579,NA,45,125,,,12
CM-2262805,JAK1 EC50(uM),0.0108,394.39,,64.44,1.383,1.3833,1,6,3,0.57895,NA,35.7,58,,,23.9
CM-2288964,JAK1 EC50(uM),0.024,392.4,,84.66,0.492,0.4923,2,7,3,0.57895,NA,48.4,32,,,21.1
CM-2289723,JAK1 EC50(uM),0.0484,365.4,,68.1,2.218,2.2181,1,6,4,0.35,NA,35.8,152,,,55
CM-2292100,JAK1 EC50(uM),0.939,390.46,,62.11,2.302,1.3934,1,6,4,0.40909,NA,20.1,292,,,28.7
CM-2292102,JAK1 EC50(uM),0.93,390.46,,62.11,1.98,0.9407,1,6,4,0.40909,NA,22.1,329,,,19.3
CM-2304786,JAK1 EC50(uM),0.0778,375.4,,75,1.074,1.0744,1,7,4,0.4,NA,30.5,21,,,8.16
CM-2300051,JAK1 EC50(uM),3,271.34,,50.42,0.926,0.9262,1,4,3,0.42857,NA,58.4,511,,,8.85
CM-2287905,JAK1 EC50(uM),1.32,351.38,,79.1,1.575,1.5749,2,6,4,0.31579,NA,40.9,358,,,19
CM-2292106,JAK1 EC50(uM),0.739,390.46,,62.11,1.98,0.9782,1,6,4,0.40909,NA,17.4,355,,,
CM-2289352,JAK1 EC50(uM),1.07,339.41,,49.22,1.387,1.2335,1,5,3,0.57895,NA,,363,,,2.5
CM-2294770,JAK1 EC50(uM),0.105,447.47,,145.74,2.307,2.2521,4,10,3,0.27273,NA,0.569,270,,,
CM-2288834,JAK1 EC50(uM),3,484.55,,152.15,1.15,0.0187,6,10,3,0.31818,NA,,,,,
CM-2288838,JAK1 EC50(uM),3,498.94,,152.15,1.89,1.8358,6,10,3,0.26087,NA,,,,,
CM-2288833,JAK1 EC50(uM),3,482.49,,152.15,1.473,1.4186,6,10,3,0.26087,NA,0.22,270,,,
CM-2288839,JAK1 EC50(uM),3,478.52,,152.15,1.826,1.7714,6,10,3,0.29167,NA,,,,,
CM-2288835,JAK1 EC50(uM),3,492.55,,152.15,1.513,-0.7696,6,10,3,0.32,NA,,,,,
CM-2288837,JAK1 EC50(uM),3,494.52,,161.38,1.13,1.0755,6,11,3,0.29167,NA,,,,,
CM-2288850,JAK1 EC50(uM),3,479.51,,165.04,0.164,-0.7869,6,11,3,0.30435,NA,,,,,
CM-2290618,JAK1 EC50(uM),3,478.52,,152.15,1.239,-0.573,6,10,3,0.29167,NA,0.0147,,,,
CM-2288832,JAK1 EC50(uM),3,478.52,,152.15,1.826,1.7714,6,10,3,0.29167,NA,,,,,
CM-2288836,JAK1 EC50(uM),3,478.52,,152.15,1.826,1.7714,6,10,3,0.29167,NA,,,,,
CM-2288841,JAK1 EC50(uM),3,502.54,,152.15,1.63,0.4067,6,10,3,0.26923,NA,,,,,
CM-2288840,JAK1 EC50(uM),3,492.55,,152.15,1.649,-0.0331,6,10,3,0.32,NA,,,,,
CM-2290622,JAK1 EC50(uM),3,521.57,,165.04,2.107,2.0525,6,11,4,0.25,NA,0.0509,137,,,
CM-2290619,JAK1 EC50(uM),3,464.5,,152.15,1.326,1.2716,6,10,3,0.26087,NA,0.0436,303,,,
CM-2288851,JAK1 EC50(uM),3,468.48,,165.29,0.294,-0.6445,6,11,3,0.31818,NA,,,,,
CM-2288849,JAK1 EC50(uM),3,478.52,,152.15,1.239,-0.2237,6,10,3,0.29167,NA,,,,,
CM-2290620,JAK1 EC50(uM),3,498.94,,152.15,1.89,1.8358,6,10,3,0.26087,NA,0.0835,187,,,
CM-2290625,JAK1 EC50(uM),3,464.5,,152.15,1.326,1.2716,6,10,3,0.26087,NA,0.0542,303,,,
CM-2290621,JAK1 EC50(uM),3,503.53,,167.94,1.445,1.3908,7,11,4,0.24,NA,0.0195,254,,,
CM-2288830,JAK1 EC50(uM),3,518.55,,180.83,0.517,0.069,7,12,4,0.28,NA,,,,,
CM-2290623,JAK1 EC50(uM),3,512.97,,152.15,1.803,0.2624,6,10,3,0.29167,NA,0.0296,,,,
CM-2288831,JAK1 EC50(uM),3,506.58,,152.15,1.933,-0.6635,6,10,3,0.34615,NA,,,,,
CM-2290624,JAK1 EC50(uM),3,500.48,,152.15,1.62,1.5656,6,10,3,0.26087,NA,0.141,303,,,
CM-1370133,JAK1 EC50(uM),0.42,245.32,,70.83,1.372,-1.1736,3,5,2,0.53846,INTERMEDIATES,,,,,
CM-1349424,JAK1 EC50(uM),1.01,255.32,,58.01,0.391,-2.6319,2,5,3,0.42857,INTERMEDIATES,5.64,,,,6.79
CM-1349424,JAK1 EC50(uM),1.01,255.32,,58.01,0.391,-2.6319,2,5,3,0.42857,INTERMEDIATES,5.64,,,,6.79
CM-2009764,JAK1 EC50(uM),3,272.37,,42.22,1.168,-1.8564,1,4,3,0.42857,INTERMEDIATES,,,,,
CM-2009015,JAK1 EC50(uM),3,397.42,,62.53,1.624,1.6236,1,6,3,0.47059,INTERMEDIATES,46.1,523,,,3.69
CM-1359987,JAK1 EC50(uM),3,383.45,,101.11,1.423,0.2842,2,9,3,0.47368,GENERAL DIVERSITY,,130,,,5.6
CM-148910,JAK1 EC50(uM),0.0243,166.14,,108.05,0.426,0.4254,5,6,2,0,GENERAL DIVERSITY,,,,,
